chr	anotation	type	start	end	score	strand	frame	gene	attribute
1	Araport11	gene	16627094	16628095	.	+	.	AT1G43870	transposable_element_gene
1	Araport11	gene	16628310	16629945	.	+	.	AT1G43880	transposable_element_gene
1	Araport11	gene	16630704	16635864	.	-	.	AT1G43883	transposable_element_gene
1	Araport11	gene	16638997	16645265	.	-	.	AT1G43886	transposable_element_gene
1	Araport11	gene	16646696	16648648	.	+	.	AT1G43890	protein_coding
1	Araport11	gene	16648567	16649643	.	-	.	AT1G43895	pseudogene
1	Araport11	gene	16650295	16650804	.	-	.	AT1G43897	transposable_element_gene
1	Araport11	gene	16654030	16655928	.	+	.	AT1G43900	protein_coding
1	Araport11	gene	16655884	16657686	.	-	.	AT1G43910	protein_coding
1	Araport11	gene	16659990	16660756	.	+	.	AT1G43920	transposable_element_gene
1	Araport11	gene	16661000	16664004	.	-	.	AT1G43930	transposable_element_gene
1	Araport11	gene	16666418	16667817	.	+	.	AT1G43940	transposable_element_gene
1	Araport11	gene	16672582	16673952	.	-	.	AT1G43950	protein_coding
1	Araport11	gene	16675520	16680354	.	+	.	AT1G43960	transposable_element_gene
1	Araport11	gene	16681269	16682933	.	+	.	AT1G43970	protein_coding
1	Araport11	gene	16687430	16689563	.	-	.	AT1G43980	protein_coding
1	Araport11	gene	16694926	16698219	.	-	.	AT1G43990	transposable_element_gene
1	Araport11	gene	16698563	16699056	.	-	.	AT1G43995	transposable_element_gene
1	Araport11	gene	16704314	16705876	.	-	.	AT1G43997	pseudogene
1	Araport11	gene	16708004	16709713	.	-	.	AT1G44000	protein_coding
1	Araport11	gene	16714622	16715564	.	+	.	AT1G44010	protein_coding
1	Araport11	gene	16715972	16718656	.	-	.	AT1G44020	protein_coding
1	Araport11	gene	16724237	16726752	.	-	.	AT1G44030	protein_coding
1	Araport11	gene	16727608	16729008	.	-	.	AT1G44040	pseudogene
1	Araport11	gene	16730937	16735967	.	-	.	AT1G44045	transposable_element_gene
1	Araport11	gene	16739192	16741652	.	+	.	AT1G44050	protein_coding
1	Araport11	gene	16743177	16745699	.	-	.	AT1G44060	transposable_element_gene
1	Araport11	gene	16746726	16750580	.	-	.	AT1G44070	transposable_element_gene
1	Araport11	gene	16752598	16752864	.	+	.	AT1G44075	transposable_element_gene
1	Araport11	gene	16753944	16755670	.	-	.	AT1G44080	protein_coding
1	Araport11	gene	16758110	16758508	.	-	.	AT1G44085	protein_coding
1	Araport11	gene	16760616	16762486	.	-	.	AT1G44090	protein_coding
1	Araport11	gene	16764392	16767685	.	-	.	AT1G44100	protein_coding
1	Araport11	gene	16774765	16777352	.	-	.	AT1G44110	protein_coding
1	Araport11	gene	16780059	16787623	.	+	.	AT1G44120	protein_coding
1	Araport11	gene	16780241	16786828	.	-	.	AT1G44125	antisense_long_noncoding_rna
1	Araport11	gene	16787508	16789436	.	-	.	AT1G44130	protein_coding
1	Araport11	gene	16791284	16791703	.	+	.	AT1G44140	transposable_element_gene
1	Araport11	gene	16792695	16793084	.	+	.	AT1G44150	pseudogene
1	Araport11	gene	16794820	16796450	.	+	.	AT1G44160	protein_coding
1	Araport11	gene	16796400	16800321	.	-	.	AT1G44170	protein_coding
1	Araport11	gene	16807828	16810565	.	-	.	AT1G44180	protein_coding
1	Araport11	gene	16813599	16814733	.	-	.	AT1G44191	protein_coding
1	Araport11	gene	16820929	16821823	.	-	.	AT1G44224	protein_coding
1	Araport11	gene	16823438	16823822	.	+	.	AT1G44286	pseudogene
1	Araport11	gene	16831016	16834011	.	+	.	AT1G44318	protein_coding
1	Araport11	gene	16834210	16838562	.	-	.	AT1G44350	protein_coding
1	Araport11	gene	16846735	16847325	.	+	.	AT1G44382	pseudogene
1	Araport11	gene	16847684	16848343	.	+	.	AT1G44414	protein_coding
1	Araport11	gene	16848308	16851271	.	-	.	AT1G44446	protein_coding
1	Araport11	gene	16852341	16853238	.	-	.	AT1G44478	protein_coding
1	Araport11	gene	16853447	16857835	.	-	.	AT1G44510	transposable_element_gene
1	Araport11	gene	16864831	16866787	.	-	.	AT1G44542	protein_coding
1	Araport11	gene	16870221	16873427	.	+	.	AT1G44575	protein_coding
1	Araport11	gene	16875092	16876549	.	-	.	AT1G44608	protein_coding
1	Araport11	gene	16879449	16879642	.	+	.	AT1G44641	transposable_element_gene
1	Araport11	gene	16882725	16882942	.	-	.	AT1G44707	transposable_element_gene
1	Araport11	gene	16887217	16889155	.	+	.	AT1G44740	protein_coding
1	Araport11	gene	16892527	16896089	.	+	.	AT1G44750	protein_coding
1	Araport11	gene	16896679	16898645	.	-	.	AT1G44760	protein_coding
1	Araport11	gene	16907537	16909572	.	-	.	AT1G44770	protein_coding
1	Araport11	gene	16909708	16912270	.	+	.	AT1G44780	protein_coding
1	Araport11	gene	16912154	16913664	.	-	.	AT1G44790	protein_coding
1	Araport11	gene	16913994	16917053	.	-	.	AT1G44800	protein_coding
1	Araport11	gene	16923440	16924821	.	+	.	AT1G44810	protein_coding
1	Araport11	gene	16926297	16929196	.	+	.	AT1G44820	protein_coding
1	Araport11	gene	16933699	16934568	.	+	.	AT1G44830	protein_coding
1	Araport11	gene	16939692	16942558	.	+	.	AT1G44835	protein_coding
1	Araport11	gene	16943330	16946110	.	+	.	AT1G44840	transposable_element_gene
1	Araport11	gene	16947240	16949417	.	-	.	AT1G44850	transposable_element_gene
1	Araport11	gene	16950304	16951318	.	-	.	AT1G44860	transposable_element_gene
1	Araport11	gene	16951952	16952437	.	-	.	AT1G44870	transposable_element_gene
1	Araport11	gene	16952808	16953474	.	+	.	AT1G44875	transposable_element_gene
1	Araport11	gene	16954386	16960042	.	-	.	AT1G44880	transposable_element_gene
1	Araport11	gene	16963125	16965019	.	+	.	AT1G44890	protein_coding
1	Araport11	gene	16965181	16965586	.	+	.	AT1G44895	protein_coding
1	Araport11	gene	16970214	16974753	.	+	.	AT1G44900	protein_coding
1	Araport11	gene	16975604	16982965	.	+	.	AT1G44910	protein_coding
1	Araport11	gene	16982904	16984444	.	-	.	AT1G44920	protein_coding
1	Araport11	gene	16985002	16985852	.	+	.	AT1G44935	transposable_element_gene
1	Araport11	gene	16994155	16995044	.	+	.	AT1G44940	protein_coding
1	Araport11	gene	16995113	16995295	.	-	.	AT1G44941	protein_coding
1	Araport11	gene	16999446	17001734	.	+	.	AT1G44960	protein_coding
1	Araport11	gene	17002089	17003867	.	+	.	AT1G44970	protein_coding
1	Araport11	gene	17004256	17005923	.	-	.	AT1G44980	protein_coding
1	Araport11	gene	17007542	17007808	.	-	.	AT1G44990	protein_coding
1	Araport11	gene	17009051	17011929	.	+	.	AT1G45000	protein_coding
1	Araport11	gene	17013385	17015520	.	-	.	AT1G45010	protein_coding
1	Araport11	gene	17021514	17022795	.	+	.	AT1G45015	protein_coding
1	Araport11	gene	17024408	17028720	.	-	.	AT1G45020	transposable_element_gene
1	Araport11	gene	17029224	17029595	.	-	.	AT1G45030	transposable_element_gene
1	Araport11	gene	17029613	17030382	.	+	.	AT1G45035	transposable_element_gene
1	Araport11	gene	17030498	17030855	.	-	.	AT1G45040	pseudogene
1	Araport11	gene	17031211	17033269	.	+	.	AT1G45050	protein_coding
1	Araport11	gene	17033335	17035105	.	-	.	AT1G45063	protein_coding
1	Araport11	gene	17035871	17038630	.	+	.	AT1G45070	transposable_element_gene
1	Araport11	gene	17039235	17040180	.	+	.	AT1G45080	transposable_element_gene
1	Araport11	gene	17044541	17049561	.	-	.	AT1G45090	transposable_element_gene
1	Araport11	gene	17050631	17052189	.	+	.	AT1G45100	protein_coding
1	Araport11	gene	17052475	17054827	.	+	.	AT1G45110	protein_coding
1	Araport11	gene	17055355	17059755	.	+	.	AT1G45120	transposable_element_gene
1	Araport11	gene	17065111	17069269	.	+	.	AT1G45130	protein_coding
1	Araport11	gene	17071358	17074556	.	-	.	AT1G45140	transposable_element_gene
1	Araport11	gene	17074942	17076417	.	-	.	AT1G45145	protein_coding
1	Araport11	gene	17077386	17082592	.	-	.	AT1G45150	protein_coding
1	Araport11	gene	17083077	17090588	.	-	.	AT1G45160	protein_coding
1	Araport11	gene	17090677	17091464	.	-	.	AT1G45163	protein_coding
1	Araport11	gene	17090807	17091338	.	+	.	AT1G45165	protein_coding
1	Araport11	gene	17095980	17098041	.	-	.	AT1G45170	protein_coding
1	Araport11	gene	17098475	17101954	.	+	.	AT1G45180	protein_coding
1	Araport11	gene	17104351	17105004	.	+	.	AT1G45190	protein_coding
1	Araport11	gene	17115762	17119246	.	+	.	AT1G45191	protein_coding
1	Araport11	gene	17123785	17129223	.	+	.	AT1G45201	protein_coding
1	Araport11	gene	17130350	17133809	.	-	.	AT1G45207	protein_coding
1	Araport11	gene	17136065	17136392	.	+	.	AT1G45211	pseudogene
1	Araport11	gene	17137703	17138251	.	+	.	AT1G45215	protein_coding
1	Araport11	gene	17139448	17140012	.	+	.	AT1G45221	protein_coding
1	Araport11	gene	17141192	17141771	.	+	.	AT1G45223	protein_coding
1	Araport11	gene	17142938	17143354	.	+	.	AT1G45225	pseudogene
1	Araport11	gene	17144691	17145134	.	+	.	AT1G45227	pseudogene
1	Araport11	gene	17154865	17159397	.	-	.	AT1G45229	protein_coding
1	Araport11	gene	17169436	17171472	.	-	.	AT1G45230	protein_coding
1	Araport11	gene	17147707	17151211	.	-	.	AT1G45231	protein_coding
1	Araport11	gene	17152896	17154843	.	+	.	AT1G45233	protein_coding
1	Araport11	gene	17156607	17156678	72	+	.	AT1G45234	pre_trna
1	Araport11	gene	17158531	17158602	72	+	.	AT1G45238	pre_trna
1	Araport11	gene	17158979	17159050	72	+	.	AT1G45240	pre_trna
1	Araport11	gene	17160528	17160599	72	+	.	AT1G45242	pre_trna
1	Araport11	gene	17147058	17147849	.	+	.	AT1G45243	protein_coding
1	Araport11	gene	17160969	17161040	72	+	.	AT1G45244	pre_trna
1	Araport11	gene	17162022	17162093	72	+	.	AT1G45246	pre_trna
1	Araport11	gene	17162813	17164779	.	-	.	AT1G45248	protein_coding
1	Araport11	gene	17165125	17167924	.	-	.	AT1G45249	protein_coding
1	Araport11	gene	17145615	17145902	.	-	.	AT1G45256	transposable_element_gene
1	Araport11	gene	17172121	17177060	.	-	.	AT1G45332	protein_coding
1	Araport11	gene	17177804	17178415	.	+	.	AT1G45403	protein_coding
1	Araport11	gene	17179250	17180806	.	+	.	AT1G45474	protein_coding
1	Araport11	gene	17180615	17183237	.	-	.	AT1G45545	protein_coding
1	Araport11	gene	17183347	17186602	.	-	.	AT1G45616	protein_coding
1	Araport11	gene	17191362	17193314	.	+	.	AT1G45688	protein_coding
1	Araport11	gene	17194070	17194801	.	+	.	AT1G45760	transposable_element_gene
1	Araport11	gene	17196165	17197506	.	+	.	AT1G45832	transposable_element_gene
1	Araport11	gene	17198262	17198818	.	-	.	AT1G45904	pseudogene
1	Araport11	gene	17199314	17200841	.	+	.	AT1G45976	protein_coding
1	Araport11	gene	17202375	17202565	.	-	.	AT1G46048	pseudogene
1	Araport11	gene	17203685	17207422	.	+	.	AT1G46120	transposable_element_gene
1	Araport11	gene	17212570	17217336	.	+	.	AT1G46192	transposable_element_gene
1	Araport11	gene	17224720	17226541	.	+	.	AT1G46264	protein_coding
1	Araport11	gene	17230411	17230653	.	-	.	AT1G46336	protein_coding
1	Araport11	gene	17232135	17232951	.	-	.	AT1G46408	protein_coding
1	Araport11	gene	17236524	17238185	.	-	.	AT1G46480	protein_coding
1	Araport11	gene	17247859	17252452	.	-	.	AT1G46552	transposable_element_gene
1	Araport11	gene	17252952	17253903	.	+	.	AT1G46554	other_rna
1	Araport11	gene	17255760	17261332	.	+	.	AT1G46624	transposable_element_gene
1	Araport11	gene	17261860	17264183	.	-	.	AT1G46696	protein_coding
1	Araport11	gene	17265586	17266824	.	-	.	AT1G46768	protein_coding
1	Araport11	gene	17270185	17271706	.	+	.	AT1G46840	protein_coding
1	Araport11	gene	17272521	17273629	.	+	.	AT1G46912	protein_coding
1	Araport11	gene	17274722	17275834	.	+	.	AT1G46984	protein_coding
1	Araport11	gene	17275890	17277839	.	-	.	AT1G47056	protein_coding
1	Araport11	gene	17282749	17285749	.	-	.	AT1G47128	protein_coding
1	Araport11	gene	17291755	17292755	.	+	.	AT1G47130	protein_coding
1	Araport11	gene	17297831	17298829	.	-	.	AT1G47200	protein_coding
1	Araport11	gene	17300691	17302914	.	+	.	AT1G47210	protein_coding
1	Araport11	gene	17303676	17305197	.	+	.	AT1G47220	protein_coding
1	Araport11	gene	17306574	17308848	.	+	.	AT1G47230	protein_coding
1	Araport11	gene	17308803	17311505	.	-	.	AT1G47240	protein_coding
1	Araport11	gene	17319119	17321202	.	+	.	AT1G47250	protein_coding
1	Araport11	gene	17319551	17323484	.	-	.	AT1G47260	protein_coding
1	Araport11	gene	17324318	17324911	.	+	.	AT1G47265	protein_coding
1	Araport11	gene	17326530	17328772	.	+	.	AT1G47270	protein_coding
1	Araport11	gene	17328813	17330536	.	+	.	AT1G47271	protein_coding
1	Araport11	gene	17330819	17332336	.	+	.	AT1G47278	protein_coding
1	Araport11	gene	17331972	17334412	.	-	.	AT1G47280	protein_coding
1	Araport11	gene	17335751	17339275	.	+	.	AT1G47290	protein_coding
1	Araport11	gene	17339561	17340972	.	-	.	AT1G47300	protein_coding
1	Araport11	gene	17342739	17344828	.	+	.	AT1G47310	protein_coding
1	Araport11	gene	17347094	17347515	.	+	.	AT1G47317	protein_coding
1	Araport11	gene	17349099	17350163	.	+	.	AT1G47320	transposable_element_gene
1	Araport11	gene	17351018	17353875	.	+	.	AT1G47330	protein_coding
1	Araport11	gene	17353847	17356564	.	-	.	AT1G47340	protein_coding
1	Araport11	gene	17358447	17360722	.	-	.	AT1G47350	protein_coding
1	Araport11	gene	17361270	17365328	.	+	.	AT1G47360	transposable_element_gene
1	Araport11	gene	17365898	17368703	.	-	.	AT1G47370	protein_coding
1	Araport11	gene	17372371	17376091	.	-	.	AT1G47380	protein_coding
1	Araport11	gene	17378580	17379391	.	+	.	AT1G47389	protein_coding
1	Araport11	gene	17379544	17380656	.	+	.	AT1G47390	protein_coding
1	Araport11	gene	17382998	17383830	.	+	.	AT1G47395	protein_coding
1	Araport11	gene	17385707	17386485	.	+	.	AT1G47400	protein_coding
1	Araport11	gene	17389679	17390781	.	+	.	AT1G47405	transposable_element_gene
1	Araport11	gene	17394072	17395673	.	+	.	AT1G47410	protein_coding
1	Araport11	gene	17395518	17397263	.	-	.	AT1G47420	protein_coding
1	Araport11	gene	17397502	17398191	.	+	.	AT1G47430	pseudogene
1	Araport11	gene	17399465	17400740	.	+	.	AT1G47435	transposable_element_gene
1	Araport11	gene	17400861	17402272	.	+	.	AT1G47440	pseudogene
1	Araport11	gene	17402636	17403214	.	-	.	AT1G47450	protein_coding
1	Araport11	gene	17403894	17404298	.	+	.	AT1G47460	pseudogene
1	Araport11	gene	17406820	17407592	.	-	.	AT1G47465	transposable_element_gene
1	Araport11	gene	17414547	17415150	.	-	.	AT1G47470	protein_coding
1	Araport11	gene	17417492	17419442	.	+	.	AT1G47480	protein_coding
1	Araport11	gene	17422432	17423071	.	+	.	AT1G47485	protein_coding
1	Araport11	gene	17424473	17427475	.	+	.	AT1G47490	protein_coding
1	Araport11	gene	17428945	17429813	.	-	.	AT1G47495	protein_coding
1	Araport11	gene	17431009	17432401	.	-	.	AT1G47497	protein_coding
1	Araport11	gene	17432433	17435124	.	+	.	AT1G47500	protein_coding
1	Araport11	gene	17435525	17438490	.	-	.	AT1G47510	protein_coding
1	Araport11	gene	17443288	17446628	.	+	.	AT1G47520	transposable_element_gene
1	Araport11	gene	17451553	17454461	.	+	.	AT1G47530	protein_coding
1	Araport11	gene	17455533	17456186	.	-	.	AT1G47540	protein_coding
1	Araport11	gene	17456987	17465195	.	+	.	AT1G47550	protein_coding
1	Araport11	gene	17466535	17473421	.	+	.	AT1G47560	protein_coding
1	Araport11	gene	17473922	17476333	.	+	.	AT1G47565	transposable_element_gene
1	Araport11	gene	17477579	17483502	.	+	.	AT1G47570	protein_coding
1	Araport11	gene	17484348	17485470	.	+	.	AT1G47578	protein_coding
1	Araport11	gene	17485576	17486463	.	+	.	AT1G47580	protein_coding
1	Araport11	gene	17486602	17488106	.	-	.	AT1G47590	pseudogene
1	Araport11	gene	17489055	17489450	.	-	.	AT1G47595	pseudogene
1	Araport11	gene	17491731	17494779	.	+	.	AT1G47600	protein_coding
1	Araport11	gene	17496657	17498152	.	-	.	AT1G47603	protein_coding
1	Araport11	gene	17503031	17503732	.	-	.	AT1G47606	transposable_element_gene
1	Araport11	gene	17504714	17506043	.	+	.	AT1G47610	protein_coding
1	Araport11	gene	17507893	17509731	.	-	.	AT1G47620	protein_coding
1	Araport11	gene	17510810	17511489	.	-	.	AT1G47625	pseudogene
1	Araport11	gene	17516185	17517883	.	-	.	AT1G47630	pseudogene
1	Araport11	gene	17518047	17520129	.	-	.	AT1G47640	protein_coding
1	Araport11	gene	17520860	17524957	.	+	.	AT1G47650	transposable_element_gene
1	Araport11	gene	17525342	17526308	.	+	.	AT1G47655	protein_coding
1	Araport11	gene	17531871	17535174	.	+	.	AT1G47657	protein_coding
1	Araport11	gene	17533941	17535551	.	-	.	AT1G47660	protein_coding
1	Araport11	gene	17536625	17539719	.	-	.	AT1G47670	protein_coding
1	Araport11	gene	17540775	17541089	.	+	.	AT1G47680	protein_coding
1	Araport11	gene	17544077	17544831	.	+	.	AT1G47690	protein_coding
1	Araport11	gene	17546326	17546545	.	-	.	AT1G47695	protein_coding
1	Araport11	gene	17547323	17548076	.	+	.	AT1G47700	protein_coding
1	Araport11	gene	17549377	17550724	.	-	.	AT1G47705	pseudogene
1	Araport11	gene	17557091	17560331	.	+	.	AT1G47710	protein_coding
1	Araport11	gene	17561286	17562934	.	-	.	AT1G47720	protein_coding
1	Araport11	gene	17563931	17565106	.	-	.	AT1G47730	protein_coding
1	Araport11	gene	17566511	17569297	.	+	.	AT1G47740	protein_coding
1	Araport11	gene	17569256	17570159	.	-	.	AT1G47750	protein_coding
1	Araport11	gene	17572414	17573373	.	+	.	AT1G47760	protein_coding
1	Araport11	gene	17574906	17576092	.	-	.	AT1G47765	protein_coding
1	Araport11	gene	17590266	17591261	.	+	.	AT1G47770	protein_coding
1	Araport11	gene	17594683	17595353	.	+	.	AT1G47780	protein_coding
1	Araport11	gene	17596610	17597023	.	+	.	AT1G47783	transposable_element_gene
1	Araport11	gene	17597898	17599099	.	+	.	AT1G47786	protein_coding
1	Araport11	gene	17600004	17601173	.	-	.	AT1G47790	protein_coding
1	Araport11	gene	17601513	17602676	.	+	.	AT1G47800	protein_coding
1	Araport11	gene	17603504	17604559	.	+	.	AT1G47810	protein_coding
1	Araport11	gene	17606558	17606818	.	+	.	AT1G47813	protein_coding
1	Araport11	gene	17608740	17611427	.	-	.	AT1G47816	transposable_element_gene
1	Araport11	gene	17611905	17612613	.	+	.	AT1G47820	protein_coding
1	Araport11	gene	17613029	17614986	.	-	.	AT1G47830	protein_coding
1	Araport11	gene	17616051	17619011	.	-	.	AT1G47840	protein_coding
1	Araport11	gene	17622110	17624274	.	-	.	AT1G47845	protein_coding
1	Araport11	gene	17620677	17630270	.	-	.	AT1G47860	transposable_element_gene
1	Araport11	gene	17634697	17637809	.	+	.	AT1G47870	protein_coding
1	Araport11	gene	17640046	17641148	.	+	.	AT1G47880	pseudogene
1	Araport11	gene	17642397	17642805	.	-	.	AT1G47885	protein_coding
1	Araport11	gene	17643976	17647107	.	+	.	AT1G47890	protein_coding
1	Araport11	gene	17647144	17651791	.	-	.	AT1G47900	protein_coding
1	Araport11	gene	17656860	17660288	.	+	.	AT1G47910	transposable_element_gene
1	Araport11	gene	17660752	17661058	.	+	.	AT1G47915	protein_coding
1	Araport11	gene	17661095	17662455	.	+	.	AT1G47920	protein_coding
1	Araport11	gene	17662794	17664083	.	+	.	AT1G47930	pseudogene
1	Araport11	gene	17668285	17669713	.	+	.	AT1G47940	protein_coding
1	Araport11	gene	17675488	17681953	.	-	.	AT1G47950	transposable_element_gene
1	Araport11	gene	17681157	17683719	.	-	.	AT1G47960	protein_coding
1	Araport11	gene	17686990	17688859	.	+	.	AT1G47970	protein_coding
1	Araport11	gene	17691811	17693887	.	-	.	AT1G47980	protein_coding
1	Araport11	gene	17698598	17701041	.	+	.	AT1G47990	protein_coding
1	Araport11	gene	17704132	17706460	.	-	.	AT1G48000	protein_coding
1	Araport11	gene	17711491	17712660	.	-	.	AT1G48010	protein_coding
1	Araport11	gene	17716051	17716808	.	-	.	AT1G48020	protein_coding
1	Araport11	gene	17716893	17719500	.	-	.	AT1G48030	protein_coding
1	Araport11	gene	17719584	17721891	.	-	.	AT1G48040	protein_coding
1	Araport11	gene	17723382	17727243	.	+	.	AT1G48050	protein_coding
1	Araport11	gene	17728095	17729102	.	+	.	AT1G48060	protein_coding
1	Araport11	gene	17730417	17731157	.	-	.	AT1G48070	protein_coding
1	Araport11	gene	17731841	17731913	73	+	.	AT1G48080	pre_trna
1	Araport11	gene	17732010	17758508	.	-	.	AT1G48090	protein_coding
1	Araport11	gene	17760142	17761998	.	+	.	AT1G48095	protein_coding
1	Araport11	gene	17766738	17769951	.	+	.	AT1G48100	protein_coding
1	Araport11	gene	17769938	17773518	.	-	.	AT1G48110	protein_coding
1	Araport11	gene	17773627	17780106	.	-	.	AT1G48120	protein_coding
1	Araport11	gene	17780429	17781727	.	+	.	AT1G48130	protein_coding
1	Araport11	gene	17781988	17784211	.	+	.	AT1G48140	protein_coding
1	Araport11	gene	17784507	17784913	.	-	.	AT1G48145	protein_coding
1	Araport11	gene	17785397	17786368	.	+	.	AT1G48150	protein_coding
1	Araport11	gene	17786498	17789024	.	-	.	AT1G48160	protein_coding
1	Araport11	gene	17788763	17790246	.	+	.	AT1G48170	protein_coding
1	Araport11	gene	17790364	17792340	.	+	.	AT1G48175	protein_coding
1	Araport11	gene	17792343	17794460	.	-	.	AT1G48180	protein_coding
1	Araport11	gene	17794560	17795163	.	-	.	AT1G48190	protein_coding
1	Araport11	gene	17796335	17796784	.	+	.	AT1G48195	protein_coding
1	Araport11	gene	17796764	17798337	.	-	.	AT1G48200	protein_coding
1	Araport11	gene	17798431	17802330	.	+	.	AT1G48210	protein_coding
1	Araport11	gene	17802863	17804955	.	+	.	AT1G48220	protein_coding
1	Araport11	gene	17805761	17808993	.	+	.	AT1G48230	protein_coding
1	Araport11	gene	17808988	17812106	.	-	.	AT1G48240	protein_coding
1	Araport11	gene	17812459	17813523	.	-	.	AT1G48250	transposable_element_gene
1	Araport11	gene	17813886	17817441	.	-	.	AT1G48260	protein_coding
1	Araport11	gene	17826622	17827824	.	-	.	AT1G48268	pseudogene
1	Araport11	gene	17827953	17830420	.	-	.	AT1G48270	protein_coding
1	Araport11	gene	17835032	17837781	.	+	.	AT1G48280	protein_coding
1	Araport11	gene	17844350	17844900	.	-	.	AT1G48285	protein_coding
1	Araport11	gene	17842668	17844907	.	+	.	AT1G48290	transposable_element_gene
1	Araport11	gene	17847042	17848338	.	+	.	AT1G48300	protein_coding
1	Araport11	gene	17848421	17853915	.	-	.	AT1G48310	protein_coding
1	Araport11	gene	17854060	17855960	.	+	.	AT1G48315	antisense_long_noncoding_rna
1	Araport11	gene	17854813	17855715	.	-	.	AT1G48320	protein_coding
1	Araport11	gene	17857258	17857722	.	+	.	AT1G48325	protein_coding
1	Araport11	gene	17863660	17864558	.	+	.	AT1G48330	protein_coding
1	Araport11	gene	17865828	17866707	.	+	.	AT1G48340	pseudogene
1	Araport11	gene	17867102	17868432	.	+	.	AT1G48350	protein_coding
1	Araport11	gene	17868121	17868536	.	-	.	AT1G48355	protein_coding
1	Araport11	gene	17868522	17873261	.	+	.	AT1G48360	protein_coding
1	Araport11	gene	17874436	17877462	.	+	.	AT1G48370	protein_coding
1	Araport11	gene	17876989	17879270	.	-	.	AT1G48380	protein_coding
1	Araport11	gene	17879369	17881251	.	-	.	AT1G48390	protein_coding
1	Araport11	gene	17881968	17883967	.	-	.	AT1G48400	protein_coding
1	Araport11	gene	17884645	17885614	.	-	.	AT1G48405	protein_coding
1	Araport11	gene	17885633	17892632	.	-	.	AT1G48410	protein_coding
1	Araport11	gene	17895784	17898813	.	-	.	AT1G48420	protein_coding
1	Araport11	gene	17899422	17900707	.	-	.	AT1G48422	pseudogene
1	Araport11	gene	17902632	17906873	.	-	.	AT1G48430	protein_coding
1	Araport11	gene	17906871	17908534	.	+	.	AT1G48440	protein_coding
1	Araport11	gene	17908503	17910523	.	-	.	AT1G48450	protein_coding
1	Araport11	gene	17910779	17913344	.	+	.	AT1G48460	protein_coding
1	Araport11	gene	17913711	17916101	.	+	.	AT1G48470	protein_coding
1	Araport11	gene	17918207	17921116	.	+	.	AT1G48480	protein_coding
1	Araport11	gene	17921900	17928954	.	-	.	AT1G48490	protein_coding
1	Araport11	gene	17931390	17934662	.	+	.	AT1G48500	protein_coding
1	Araport11	gene	17934746	17936946	.	+	.	AT1G48510	protein_coding
1	Araport11	gene	17940050	17942864	.	+	.	AT1G48520	protein_coding
1	Araport11	gene	17943242	17944315	.	-	.	AT1G48530	protein_coding
1	Araport11	gene	17945369	17950598	.	+	.	AT1G48540	protein_coding
1	Araport11	gene	17950569	17952743	.	-	.	AT1G48550	protein_coding
1	Araport11	gene	17952854	17955509	.	+	.	AT1G48560	protein_coding
1	Araport11	gene	17953870	17957719	.	-	.	AT1G48570	protein_coding
1	Araport11	gene	17957942	17960916	.	-	.	AT1G48580	protein_coding
1	Araport11	gene	17962520	17964465	.	+	.	AT1G48590	protein_coding
1	Araport11	gene	17965871	17969354	.	+	.	AT1G48600	protein_coding
1	Araport11	gene	17969395	17970551	.	-	.	AT1G48605	protein_coding
1	Araport11	gene	17970611	17973402	.	-	.	AT1G48610	protein_coding
1	Araport11	gene	17973642	17976663	.	-	.	AT1G48620	protein_coding
1	Araport11	gene	17979561	17980815	.	+	.	AT1G48625	pseudogene
1	Araport11	gene	17981636	17983377	.	-	.	AT1G48630	protein_coding
1	Araport11	gene	17983646	17986292	.	+	.	AT1G48635	protein_coding
1	Araport11	gene	17986303	17989163	.	+	.	AT1G48640	protein_coding
1	Araport11	gene	17989131	17995339	.	-	.	AT1G48650	protein_coding
1	Araport11	gene	17995785	17998037	.	-	.	AT1G48660	protein_coding
1	Araport11	gene	17998795	18001289	.	-	.	AT1G48670	protein_coding
1	Araport11	gene	18002752	18006845	.	-	.	AT1G48680	transposable_element_gene
1	Araport11	gene	18008813	18010086	.	-	.	AT1G48690	protein_coding
1	Araport11	gene	18010497	18012888	.	+	.	AT1G48698	antisense_long_noncoding_rna
1	Araport11	gene	18011035	18013257	.	-	.	AT1G48700	protein_coding
1	Araport11	gene	18013632	18017690	.	+	.	AT1G48710	transposable_element_gene
1	Araport11	gene	18017730	18018458	.	+	.	AT1G48720	protein_coding
1	Araport11	gene	18019274	18020642	.	+	.	AT1G48725	protein_coding
1	Araport11	gene	18020337	18022277	.	-	.	AT1G48730	protein_coding
1	Araport11	gene	18023378	18026097	.	-	.	AT1G48740	protein_coding
1	Araport11	gene	18030704	18031593	.	+	.	AT1G48745	protein_coding
1	Araport11	gene	18035967	18036510	.	+	.	AT1G48750	protein_coding
1	Araport11	gene	18035967	18039405	.	-	.	AT1G48760	protein_coding
1	Araport11	gene	18040129	18041447	.	+	.	AT1G48770	protein_coding
1	Araport11	gene	18041380	18042886	.	+	.	AT1G48780	protein_coding
1	Araport11	gene	18043672	18047806	.	-	.	AT1G48790	protein_coding
1	Araport11	gene	18049810	18053152	.	+	.	AT1G48800	protein_coding
1	Araport11	gene	18053369	18054359	.	-	.	AT1G48810	transposable_element_gene
1	Araport11	gene	18055229	18059521	.	+	.	AT1G48820	protein_coding
1	Araport11	gene	18059450	18061302	.	-	.	AT1G48830	protein_coding
